,pearson_ic,spearman_ic,ic_cumsum
2024-03-25 05:00:00+00:00,0.22206132551055763,0.18320489139980034,-18.567744545461142
2024-03-25 17:00:00+00:00,0.22063911551044896,0.18488864749508785,-18.347105429950695
2024-03-26 05:00:00+00:00,0.22267533810367476,0.19129899885347368,-18.12443009184702
2024-03-26 17:00:00+00:00,0.22470717812820173,0.1945722517398929,-17.89972291371882
2024-03-27 05:00:00+00:00,0.22357511736401076,0.18955336971757686,-17.676147796354808
2024-03-27 17:00:00+00:00,0.23747068880494882,0.21436404074198387,-17.43867710754986
2024-03-28 05:00:00+00:00,0.2356859518454309,0.2125034685754591,-17.20299115570443
2024-03-28 17:00:00+00:00,0.2519707036618115,0.2487135735378554,-16.95102045204262
2024-03-29 05:00:00+00:00,0.26773923044692644,0.2963926274654328,-16.683281221595692
2024-03-29 17:00:00+00:00,0.25387722596906714,0.25165828372211385,-16.429403995626625
2024-03-30 05:00:00+00:00,0.2436919124551464,0.2122268787550108,-16.185712083171477
2024-03-30 17:00:00+00:00,0.24929116762371845,0.2161988052281493,-15.936420915547759
2024-03-31 05:00:00+00:00,0.17283732162604906,0.18809830050135354,-15.763583593921709
2024-03-31 17:00:00+00:00,0.16492151096255817,0.16710890826274813,-15.59866208295915
2024-04-01 05:00:00+00:00,0.16966879710331959,0.1820473329670279,-15.42899328585583
2024-04-01 17:00:00+00:00,0.15876870260824918,0.15613623746059313,-15.27022458324758
2024-04-02 05:00:00+00:00,0.1348068994010116,0.1265512939433838,-15.135417683846569
2024-04-02 17:00:00+00:00,0.12434189358301273,0.09455516478367977,-15.011075790263556
2024-04-03 05:00:00+00:00,0.11255856325026511,0.06005299954547024,-14.89851722701329
2024-04-03 17:00:00+00:00,0.1074765539880213,0.05238797330307108,-14.791040673025268
2024-04-04 05:00:00+00:00,0.10930796443128919,0.05503590231803078,-14.681732708593978
2024-04-04 17:00:00+00:00,0.17999147391305878,0.10076261585585067,-14.50174123468092
2024-04-05 05:00:00+00:00,0.18660475884907912,0.12265937848794113,-14.31513647583184
2024-04-05 17:00:00+00:00,0.16588692519711212,0.09455089559894525,-14.149249550634728
2024-04-06 05:00:00+00:00,0.16934260950322824,0.10512314707937821,-13.9799069411315
2024-04-06 17:00:00+00:00,0.19923356455547903,0.1538169250928756,-13.78067337657602
2024-04-07 05:00:00+00:00,0.20303909578534915,0.16662394622199186,-13.57763428079067
2024-04-07 17:00:00+00:00,0.19401481020156053,0.1427538848453915,-13.38361947058911
2024-04-08 05:00:00+00:00,0.19429379538281763,0.14247319320897978,-13.189325675206293
2024-04-08 17:00:00+00:00,0.17395946396518316,0.1023285247310134,-13.01536621124111
2024-04-09 05:00:00+00:00,0.17804070803309532,0.09372710340516564,-12.837325503208016
2024-04-09 17:00:00+00:00,0.15754100006089528,0.06685242995776831,-12.67978450314712
2024-04-10 05:00:00+00:00,0.158094357605451,0.06871468850791206,-12.521690145541669
2024-04-10 17:00:00+00:00,0.13624208598480675,0.01532811403241693,-12.385448059556863
2024-04-11 05:00:00+00:00,0.13513450393551069,0.008754310644727401,-12.250313555621352
2024-04-11 17:00:00+00:00,0.10366326941389052,-0.04451079183723095,-12.14665028620746
2024-04-12 05:00:00+00:00,0.09359821427178383,-0.07548419110651462,-12.053052071935676
2024-04-12 17:00:00+00:00,0.16628248410706034,0.002928831899124445,-11.886769587828615
2024-04-13 05:00:00+00:00,0.1415287921692713,-0.056438847894023855,-11.745240795659344
2024-04-13 17:00:00+00:00,0.14635350774286643,-0.036237749778603064,-11.598887287916478
2024-04-14 05:00:00+00:00,0.13440352827467142,-0.08036763514618006,-11.464483759641807
2024-04-14 17:00:00+00:00,0.14762430417240738,-0.08221106587460844,-11.3168594554694
2024-04-15 05:00:00+00:00,0.155922189111236,-0.05334975644768259,-11.160937266358165
2024-04-15 17:00:00+00:00,0.15544757336579976,-0.047964107662139016,-11.005489692992365
2024-04-16 05:00:00+00:00,0.12683415883706184,-0.10163950753232527,-10.878655534155303
2024-04-16 17:00:00+00:00,0.15565578175936387,-0.06894252311330286,-10.722999752395939
2024-04-17 05:00:00+00:00,0.14538861723749338,-0.10310199525153284,-10.577611135158445
2024-04-17 17:00:00+00:00,-0.023308607829658982,-0.13795714228611458,-10.600919742988104
2024-04-18 05:00:00+00:00,-0.028875464473409017,-0.14507527670996248,-10.629795207461513
2024-04-18 17:00:00+00:00,-0.0814721590731704,-0.1850143305681747,-10.711267366534683
2024-04-19 05:00:00+00:00,-0.07601349774891825,-0.16027536841205448,-10.787280864283602
2024-04-19 17:00:00+00:00,-0.14940290123064903,-0.22729640427315517,-10.936683765514251
2024-04-20 05:00:00+00:00,-0.14551494726370995,-0.21976293017817394,-11.082198712777961
2024-04-20 17:00:00+00:00,-0.10156552446858154,-0.14738242514129332,-11.183764237246542
2024-04-21 05:00:00+00:00,-0.10551358247754464,-0.15592539202823782,-11.289277819724088
2024-04-21 17:00:00+00:00,-0.12690067808778155,-0.2043121840232365,-11.41617849781187
2024-04-22 05:00:00+00:00,-0.09189679606495342,-0.15482854976068885,-11.508075293876823
2024-04-22 17:00:00+00:00,-0.08831283931827033,-0.1468659763560585,-11.596388133195093
2024-04-23 05:00:00+00:00,-0.09342701129922827,-0.1718475987617855,-11.689815144494322
2024-04-23 17:00:00+00:00,-0.08521942564235283,-0.15426570223468367,-11.775034570136674
2024-04-24 05:00:00+00:00,-0.08970726999568503,-0.1611663602680769,-11.864741840132359
2024-04-24 17:00:00+00:00,-0.08301142420012735,-0.14366220433722632,-11.947753264332485
2024-04-25 05:00:00+00:00,-0.08803324240238952,-0.15472874956635407,-12.035786506734874
2024-04-25 17:00:00+00:00,-0.07569496144378754,-0.1261282710872024,-12.111481468178662
2024-04-26 05:00:00+00:00,-0.11041386075265788,-0.17452727267351748,-12.22189532893132
2024-04-26 17:00:00+00:00,-0.11630731556440038,-0.1938568529805263,-12.33820264449572
2024-04-27 05:00:00+00:00,-0.10389112512016754,-0.16667359852321448,-12.442093769615887
2024-04-27 17:00:00+00:00,-0.10665880528358225,-0.17213022308365325,-12.548752574899469
2024-04-28 05:00:00+00:00,-0.09380897752686826,-0.14270746296553943,-12.642561552426336
2024-04-28 17:00:00+00:00,-0.09200465473777668,-0.14386384152311357,-12.734566207164113
2024-04-29 05:00:00+00:00,-0.08316668155060293,-0.11867784003785332,-12.817732888714716
2024-04-29 17:00:00+00:00,-0.19592080512139212,-0.15051330670318402,-13.013653693836108
2024-04-30 05:00:00+00:00,-0.23133093999459434,-0.17932505733080328,-13.244984633830702
2024-04-30 17:00:00+00:00,-0.20485603527094665,-0.16094547796662875,-13.449840669101649
2024-05-01 05:00:00+00:00,-0.21036901235096653,-0.16389874815167735,-13.660209681452615
2024-05-01 17:00:00+00:00,-0.2429258790254454,-0.2052564461999556,-13.903135560478061
2024-05-02 05:00:00+00:00,-0.24697141681409865,-0.21961741783638608,-14.15010697729216
2024-05-02 17:00:00+00:00,-0.2172729965231632,-0.16882178810909104,-14.367379973815323
2024-05-03 05:00:00+00:00,-0.22494413258640142,-0.1815557514831936,-14.592324106401724
2024-05-03 17:00:00+00:00,-0.19125184221188685,-0.1462678155886572,-14.783575948613612
2024-05-04 05:00:00+00:00,-0.18010053545388585,-0.13084158439967405,-14.963676484067497
2024-05-04 17:00:00+00:00,-0.17900963301449307,-0.12733108493830378,-15.14268611708199
2024-05-05 05:00:00+00:00,-0.1761391452368947,-0.11581246710324265,-15.318825262318885
2024-05-05 17:00:00+00:00,-0.1688308712496225,-0.10493521227923848,-15.487656133568509
2024-05-06 05:00:00+00:00,-0.1690960260320743,-0.10582427346140574,-15.656752159600583
2024-05-06 17:00:00+00:00,-0.1579448434054607,-0.08110796430011652,-15.814697003006044
2024-05-07 05:00:00+00:00,-0.14873855267663924,-0.06180010202354621,-15.963435555682683
2024-05-07 17:00:00+00:00,-0.2496108717539132,-0.09814047638233482,-16.213046427436595
2024-05-08 05:00:00+00:00,-0.23881435690863512,-0.07938697164607898,-16.45186078434523
2024-05-08 17:00:00+00:00,-0.24859472629651014,-0.08777390251016232,-16.70045551064174
2024-05-09 05:00:00+00:00,-0.24548731172202226,-0.07315674442633316,-16.94594282236376
2024-05-09 17:00:00+00:00,-0.24394309158500802,-0.05868194481530634,-17.18988591394877
2024-05-10 05:00:00+00:00,-0.26862683362190326,-0.09733017000876082,-17.458512747570673
2024-05-10 17:00:00+00:00,-0.1713671866332968,-0.07444260275997083,-17.62987993420397
2024-05-11 05:00:00+00:00,-0.1576675533812432,-0.04659656053887159,-17.787547487585215
2024-05-11 17:00:00+00:00,-0.16513288336392692,-0.07192764536051995,-17.952680370949142
2024-05-12 05:00:00+00:00,-0.15706796929898043,-0.05147186324459612,-18.109748340248125
2024-05-12 17:00:00+00:00,0.061023495634126,0.01348147883231685,-18.048724844614
2024-05-13 05:00:00+00:00,0.08352351140815531,0.051183699537260194,-17.965201333205844
2024-05-13 17:00:00+00:00,0.17555294901177335,0.06714601051882488,-17.78964838419407
2024-05-14 05:00:00+00:00,0.1648041976018385,0.03425881427917365,-17.62484418659223
2024-05-14 17:00:00+00:00,0.18708801727485325,0.07640610688372171,-17.437756169317378
2024-05-15 05:00:00+00:00,0.18878015233105305,0.08128866404997764,-17.248976016986326
2024-05-15 17:00:00+00:00,0.1775681777278461,0.07288977404943302,-17.07140783925848
2024-05-16 05:00:00+00:00,0.18306550559670867,0.08717349121443971,-16.88834233366177
2024-05-16 17:00:00+00:00,0.19946766964662013,0.12087860999898907,-16.688874664015152
2024-05-17 05:00:00+00:00,0.16149218809175817,0.08971853602281693,-16.527382475923392
2024-05-17 17:00:00+00:00,0.1264605216599953,0.04069150949193406,-16.400921954263396
2024-05-18 05:00:00+00:00,0.13397990865396825,0.05799884156272842,-16.266942045609426
2024-05-18 17:00:00+00:00,0.13617895778962327,0.065120306168329,-16.1307630878198
2024-05-19 05:00:00+00:00,0.1553557937096502,0.09223000897734548,-15.97540729411015
2024-05-19 17:00:00+00:00,0.14620774452257632,0.07856163569132846,-15.829199549587575
2024-05-20 05:00:00+00:00,0.1429427051794375,0.07203154081654484,-15.686256844408137
2024-05-20 17:00:00+00:00,0.1508415833635518,0.07480768772496821,-15.535415261044585
2024-05-21 05:00:00+00:00,0.1894175038077228,0.13630542645718494,-15.345997757236862
2024-05-21 17:00:00+00:00,0.16817167805350275,0.12575381125160992,-15.17782607918336
2024-05-22 05:00:00+00:00,0.1504419362969831,0.0864778170500941,-15.027384142886376
2024-05-22 17:00:00+00:00,0.16902146038797528,0.09160936716114655,-14.8583626824984
2024-05-23 05:00:00+00:00,0.16464946283695855,0.08100932339874188,-14.693713219661442
2024-05-23 17:00:00+00:00,0.19926836128409753,0.1191300199275795,-14.494444858377344
2024-05-24 05:00:00+00:00,0.19034437392455364,0.10779543408820277,-14.30410048445279
2024-05-24 17:00:00+00:00,0.21834872538555555,0.12901033212754548,-14.085751759067236
2024-05-25 05:00:00+00:00,0.21877460060587417,0.126777331932627,-13.866977158461362
2024-05-25 17:00:00+00:00,0.26085576085355433,0.15166160910803722,-13.606121397607808
2024-05-26 05:00:00+00:00,0.26078434263495287,0.14528188516915816,-13.345337054972855
2024-05-26 17:00:00+00:00,0.3743077979252412,0.2128318618415406,-12.971029257047615
2024-05-27 05:00:00+00:00,0.38141581845873296,0.23455814998370128,-12.589613438588882
2024-05-27 17:00:00+00:00,0.3517981479813244,0.20051014670950051,-12.237815290607559
2024-05-28 05:00:00+00:00,0.2818541919689509,0.15944799158454473,-11.955961098638609
2024-05-28 17:00:00+00:00,0.2520333834959503,0.12142976369651243,-11.703927715142658
2024-05-29 05:00:00+00:00,0.22323773038916706,0.06495375976199337,-11.480689984753491
2024-05-29 17:00:00+00:00,0.22961948655663741,0.079110366967293,-11.251070498196853
2024-05-30 05:00:00+00:00,0.2260905366730147,0.06619091723601005,-11.024979961523838
2024-05-30 17:00:00+00:00,0.268752195481285,0.1262218261053778,-10.756227766042553
2024-05-31 05:00:00+00:00,0.2701696732908533,0.132354698444417,-10.4860580927517
2024-05-31 17:00:00+00:00,0.2413017437822404,0.08960279545162084,-10.244756348969458
2024-06-01 05:00:00+00:00,0.24228083637119427,0.08963597434811384,-10.002475512598265
2024-06-01 17:00:00+00:00,0.23853626644789758,0.073044213074923,-9.763939246150366
2024-06-02 05:00:00+00:00,0.24303972175648295,0.08281351642729683,-9.520899524393883
2024-06-02 17:00:00+00:00,0.22935700342465254,0.05741443844988897,-9.29154252096923
2024-06-03 05:00:00+00:00,0.24134657544548285,0.08483788343209596,-9.050195945523747
2024-06-03 17:00:00+00:00,0.22925249334181516,0.0579653636981548,-8.820943452181933
2024-06-04 05:00:00+00:00,0.2395782805833396,0.08361898346053381,-8.581365171598593
2024-06-04 17:00:00+00:00,0.05135466126761271,-0.004635832113109544,-8.53001051033098
2024-06-05 05:00:00+00:00,0.03766111104810294,-0.02834680381864857,-8.492349399282878
2024-06-05 17:00:00+00:00,0.052401973619710225,0.009771998084226217,-8.439947425663167
2024-06-06 05:00:00+00:00,0.05674890451601934,0.020927715928820728,-8.383198521147147
2024-06-06 17:00:00+00:00,0.04698992820016833,-0.005973076023333199,-8.336208592946978
2024-06-07 05:00:00+00:00,0.04335762547168469,-0.00919418901349525,-8.292850967475292
2024-06-07 17:00:00+00:00,0.1383753199304793,0.07312002776564516,-8.154475647544814
2024-06-08 05:00:00+00:00,0.14499849627078337,0.08736756261977942,-8.00947715127403
2024-06-08 17:00:00+00:00,0.13515430225027858,0.062759497733759,-7.874322849023752
2024-06-09 05:00:00+00:00,0.13436370965969874,0.06133264239816762,-7.739959139364053
2024-06-09 17:00:00+00:00,0.0923485441500232,0.02349707019007922,-7.64761059521403
2024-06-10 05:00:00+00:00,0.09217166115763008,0.02298057094349112,-7.5554389340564
2024-06-10 17:00:00+00:00,0.0872376521445435,0.014024832323665679,-7.468201281911856
2024-06-11 05:00:00+00:00,0.09885856401960506,0.03103707594721909,-7.369342717892251
2024-06-11 17:00:00+00:00,0.09115204625928122,0.026540116299432957,-7.27819067163297
2024-06-12 05:00:00+00:00,0.08304732658213054,0.006974220564702196,-7.195143345050839
2024-06-12 17:00:00+00:00,0.03056498927405962,-0.04281741274948594,-7.164578355776779
2024-06-13 05:00:00+00:00,0.006870023846007162,-0.06858696557124383,-7.157708331930772
2024-06-13 17:00:00+00:00,0.015336125518312989,-0.04916558538011665,-7.1423722064124595
2024-06-14 05:00:00+00:00,0.013804786687603791,-0.05376627144028023,-7.128567419724856
2024-06-14 17:00:00+00:00,-0.03227323774610212,-0.10545651494675205,-7.160840657470958
2024-06-15 05:00:00+00:00,-0.0573648251664813,-0.1480877980062334,-7.2182054826374396
2024-06-15 17:00:00+00:00,-0.024477107918906497,-0.11483853433030482,-7.242682590556346
2024-06-16 05:00:00+00:00,-0.014794870132302074,-0.09471046194210975,-7.257477460688649
2024-06-16 17:00:00+00:00,-0.001193737402444624,-0.06929888474900393,-7.258671198091093
2024-06-17 05:00:00+00:00,0.0003294797943592673,-0.06367888746005221,-7.258341718296734
2024-06-17 17:00:00+00:00,-0.03634983265366112,-0.10066314672422733,-7.294691550950395
2024-06-18 05:00:00+00:00,-0.03639750460508106,-0.10362463357680805,-7.331089055555476
2024-06-18 17:00:00+00:00,-0.07481356625194331,-0.13145188989504836,-7.405902621807419
2024-06-19 05:00:00+00:00,-0.07546201425105163,-0.1357279801313687,-7.481364636058471
2024-06-19 17:00:00+00:00,-0.07969370416254495,-0.14458033564461475,-7.561058340221016
2024-06-20 05:00:00+00:00,-0.06863499950513681,-0.1139628529199053,-7.629693339726153
2024-06-20 17:00:00+00:00,-0.07804209164557546,-0.13190345348203786,-7.707735431371728
2024-06-21 05:00:00+00:00,-0.07589820195600253,-0.13064858650734149,-7.783633633327731
2024-06-21 17:00:00+00:00,-0.07582852353745731,-0.13334201264755163,-7.859462156865188
2024-06-22 05:00:00+00:00,-0.0312011901376403,-0.09096964424917345,-7.890663347002828
2024-06-22 17:00:00+00:00,-0.030280840753005123,-0.08638488515327443,-7.9209441877558335
2024-06-23 05:00:00+00:00,-0.015566272456495812,-0.05626676417813013,-7.93651046021233
2024-06-23 17:00:00+00:00,-0.022565104744998028,-0.07347583965601484,-7.9590755649573275
2024-06-24 05:00:00+00:00,0.032940436663203565,-0.017936416025809504,-7.926135128294124
2024-06-24 17:00:00+00:00,-0.04514561560399828,-0.08691322089934186,-7.971280743898123
2024-06-25 05:00:00+00:00,-0.11058921286021252,-0.14842871732809274,-8.081869956758336
2024-06-25 17:00:00+00:00,-0.09263621459732353,-0.12549619112852234,-8.17450617135566
2024-06-26 05:00:00+00:00,-0.09082310800828011,-0.1140892427671151,-8.26532927936394
2024-06-26 17:00:00+00:00,-0.0896369541879439,-0.10323104898939008,-8.354966233551883
2024-06-27 05:00:00+00:00,-0.09703594516494918,-0.11531262315980548,-8.452002178716832
2024-06-27 17:00:00+00:00,-0.07725871864947285,-0.07359594410931115,-8.529260897366305
2024-06-28 05:00:00+00:00,-0.09827736516724814,-0.11049808774427644,-8.627538262533553
2024-06-28 17:00:00+00:00,-0.08863599785743799,-0.07870145385691102,-8.716174260390991
2024-06-29 05:00:00+00:00,-0.0879020418454246,-0.08295134047184617,-8.804076302236416
2024-06-29 17:00:00+00:00,-0.07013368735573745,-0.0531632904368811,-8.874209989592153
2024-06-30 05:00:00+00:00,-0.0520527293429658,-0.01651839171035605,-8.926262718935119
2024-06-30 17:00:00+00:00,-0.07005870406039054,-0.050953895587847006,-8.996321422995509
2024-07-01 05:00:00+00:00,-0.04629356143232895,-0.020054603709061262,-9.042614984427837
2024-07-01 17:00:00+00:00,-0.026276606635205393,0.007482773095584625,-9.068891591063043
2024-07-02 05:00:00+00:00,-0.03338217426723199,-0.008886493023210387,-9.102273765330274
2024-07-02 17:00:00+00:00,-0.13696654311792156,-0.08821588824644809,-9.239240308448196
2024-07-03 05:00:00+00:00,-0.17147405695339163,-0.12614857575348568,-9.410714365401587
2024-07-03 17:00:00+00:00,-0.17352901415198818,-0.12541683010770588,-9.584243379553575
2024-07-04 05:00:00+00:00,-0.14414368387974924,-0.0897501260704225,-9.728387063433324
